nouns,verbs,adjectives,adverbs,pronouns,conjunctions,other
272,9,11,0,0,1,35
67,18,17,2,2,21,42
619,58,65,12,0,33,129
1847,702,386,139,153,561,1043
921,626,287,206,234,541,1010
486,212,90,36,56,233,334
146,45,30,8,8,45,105
112,75,24,19,14,42,102
111,60,37,9,20,53,121
567,274,144,63,77,265,473
307,159,50,31,39,125,269
203,126,58,27,30,92,211
191,114,44,27,52,98,174
186,94,43,29,34,93,141
123,49,16,7,11,44,61
137,64,43,9,14,52,110
219,95,40,28,24,85,214
38,16,4,1,1,12,28
477,261,122,71,87,270,424
262,160,40,29,31,125,219
95,39,20,8,5,34,86
170,80,31,14,15,98,141
247,165,39,36,46,105,241
441,177,65,36,29,155,342
28,12,8,5,2,14,24
171,71,28,20,12,57,156
58,40,17,5,8,25,49
294,113,84,41,32,143,263
443,234,118,80,83,205,353
49,22,16,11,5,19,51
202,109,58,33,33,92,132
177,62,40,11,2,88,117
497,269,119,81,85,223,411
115,47,33,13,12,52,98
122,51,28,4,19,49,88
195,90,28,14,19,64,130
254,100,54,29,15,98,173
228,82,68,27,7,119,171
90,42,27,12,8,30,60
79,37,14,7,7,32,50
482,259,134,68,60,212,324
1185,682,192,122,301,514,1063
868,374,163,88,120,348,651
198,111,72,33,32,106,178
107,82,24,16,25,59,119
60,15,5,4,2,13,29
177,172,68,47,106,130,232
534,268,157,83,102,299,476
287,172,49,33,70,114,214
445,246,90,58,72,235,358
16,3,1,1,1,6,5
4,0,0,0,0,2,4
457,185,99,25,29,151,330
273,128,69,23,23,112,206
192,97,29,14,17,68,139
201,102,49,18,14,80,176
223,114,72,39,36,109,233
388,215,62,38,62,160,311
505,214,67,32,48,182,317
297,304,114,77,175,194,389
978,317,280,111,75,463,716
179,73,45,17,20,75,128
101,36,16,8,14,36,51
440,262,114,52,101,194,396
163,99,23,18,33,66,155
10,4,3,1,0,3,4
441,43,82,1,0,40,263
181,104,38,22,25,63,126
154,105,31,10,23,70,130
148,104,36,23,35,82,138
512,236,128,42,44,204,346
161,59,23,13,19,68,112
33,11,6,1,3,13,18
138,50,27,11,9,61,92
399,187,87,19,31,142,294
350,188,98,50,51,179,384
354,175,93,55,57,206,301
280,123,95,42,44,144,254
530,243,93,52,72,203,389
608,305,140,76,88,260,491
151,65,29,14,29,67,112
505,224,71,36,80,192,368
68,43,15,8,12,37,79
360,228,88,63,91,166,372
120,52,16,6,13,46,84
243,98,37,20,13,84,182
117,72,38,19,16,54,89
55,19,13,6,4,16,37
181,110,63,41,22,106,227
210,107,57,33,31,95,159
182,117,60,31,26,98,213
626,441,145,116,182,337,653
96,53,15,13,31,47,95
159,79,42,28,29,80,155
100,57,23,11,12,42,81
1415,877,344,237,411,679,1328
189,80,41,19,15,78,131
508,235,117,60,25,195,377
209,79,41,13,35,89,164
1019,40,48,0,0,3,174
220,153,50,44,37,93,213
94,38,9,11,20,29,57
1499,653,471,179,151,733,1227
70,66,20,14,17,32,74
333,158,53,26,29,156,232
118,61,26,13,27,56,90
685,302,171,73,76,315,508
110,36,16,4,4,47,79
177,57,17,4,10,72,79
12,6,9,3,3,9,14
224,158,62,36,60,112,215
678,266,193,102,39,287,514
143,57,30,2,11,76,124
256,79,65,27,25,84,137
221,126,34,31,38,96,189
132,99,36,25,22,83,156
873,584,260,170,222,523,854
1982,893,485,192,263,897,1461
172,43,26,13,12,67,110
105,40,12,6,11,34,67
362,186,87,50,32,170,288
199,126,36,22,32,98,156
148,59,28,14,14,54,113
351,189,73,53,35,179,308
41,22,13,4,9,16,44
81,20,10,7,9,39,56
391,186,87,36,35,205,305
285,136,77,38,34,180,296
80,67,19,8,30,29,79
502,142,169,22,81,150,469
216,132,35,23,23,114,183
269,109,59,27,27,118,193
479,216,118,49,47,211,383
58,33,20,2,9,27,45
474,207,78,41,52,238,361
288,130,42,20,13,115,220
344,135,82,38,31,164,260
123,48,41,14,26,58,121
475,239,105,49,38,184,378
65,33,11,10,6,20,41
347,173,83,28,33,146,282
189,134,48,45,77,103,228
673,373,159,78,121,349,527
212,139,79,42,42,128,222
239,140,69,22,30,122,191
116,77,23,13,40,57,106
154,52,12,16,20,46,88
34,17,5,2,4,10,22
441,231,85,48,52,189,344
114,60,25,18,16,59,128
524,287,84,55,74,209,467
656,316,110,60,96,256,444
89,25,7,7,3,18,40
144,97,22,23,32,72,115
573,425,143,116,175,309,649
100,70,40,17,26,58,104
135,49,20,5,7,46,91
362,184,72,60,45,155,279
551,291,85,36,75,239,459
47,31,12,6,4,15,49
601,254,141,64,25,309,608
553,308,161,65,76,272,516
1827,968,322,240,456,920,1607
222,45,27,6,11,33,125
155,78,35,22,22,63,124
92,76,26,8,27,33,84
230,139,28,30,50,110,197
230,106,52,19,23,107,171
57,21,11,3,8,27,48
439,201,90,54,47,183,345
316,139,40,25,33,127,247
300,151,57,28,50,117,227
571,260,146,59,53,299,419
77,56,12,9,23,37,68
204,102,45,25,21,88,134
9,4,2,2,3,2,9
273,128,59,30,46,136,217
116,52,14,0,17,35,72
54,33,15,10,14,25,45
170,72,31,11,7,62,97
227,107,47,30,29,87,162
547,242,114,56,37,178,354
224,141,47,32,94,102,178
103,54,15,10,9,48,85
262,137,54,14,13,122,248
120,58,34,10,27,41,97
123,155,53,47,71,92,178
273,119,60,29,42,109,182
158,63,33,18,31,67,120
743,290,222,87,122,406,735
192,112,51,27,38,87,160
182,104,38,40,41,61,156
447,278,123,52,101,208,419
459,279,117,71,73,224,387
362,228,154,83,96,209,377
122,70,32,30,10,45,84
310,191,64,35,90,152,292
261,97,64,29,37,114,179
355,116,70,27,18,110,216
209,93,66,21,29,80,146
267,91,68,27,22,114,181
166,57,28,15,19,59,91
236,115,32,33,29,136,193
922,510,153,116,165,384,806
74,49,19,16,6,36,67
73,17,8,1,2,27,36
293,194,73,30,54,171,272
187,4,8,0,0,0,22
100,43,10,6,12,36,91
100,44,17,7,16,41,66
98,46,15,14,5,36,77
478,223,122,67,80,206,329
80,36,22,11,3,38,55
183,135,68,35,83,117,201
155,83,29,20,25,78,199
132,82,19,17,32,47,93
57,18,7,7,3,21,28
634,226,196,52,36,312,560
125,66,22,24,24,50,104
393,281,92,45,144,214,412
266,76,46,16,23,82,112
211,116,69,52,61,116,165
155,73,42,27,31,59,152
163,106,52,22,52,85,192
127,153,31,38,54,83,161
78,35,19,6,13,34,63
364,239,81,37,34,170,326
321,195,62,33,49,175,303
347,187,64,38,76,163,257
289,13,29,0,0,3,100
307,142,63,37,31,125,203
350,173,88,30,85,142,271
274,136,66,31,17,122,197
111,55,14,7,17,37,74
491,208,66,44,44,178,293
127,45,12,10,5,32,83
235,118,35,14,36,76,209
359,154,64,30,32,134,223
56,18,7,5,7,15,33
155,133,58,58,49,118,199
327,193,68,56,42,155,257
51,16,8,0,2,18,17
12,2,3,2,0,4,5
139,64,26,15,7,70,103
7,2,2,3,1,3,12
312,96,61,22,28,95,281
349,168,73,44,76,191,331
71,7,7,1,0,28,43
239,117,65,29,13,129,218
28,10,8,2,2,14,25
99,20,9,4,2,24,49
435,253,141,64,99,225,440
96,71,24,24,27,45,109
10,1,1,0,0,1,1
822,558,225,135,203,439,852
199,89,29,17,7,89,153
57,24,12,8,11,21,45
257,122,67,35,39,135,188
14,9,7,0,5,7,22
364,13,24,0,0,4,85
185,95,49,27,23,96,167
509,261,126,64,71,233,417
379,160,81,49,51,149,319
138,62,30,11,2,65,83
107,50,17,5,3,33,91
174,70,46,18,40,86,149
110,42,11,5,5,47,78
169,71,14,14,21,49,96
122,22,12,3,8,34,56
661,386,181,107,133,380,714
42,20,8,3,12,14,36
161,85,28,14,27,91,155
181,164,24,32,66,89,256
638,319,149,72,129,295,498
180,115,43,33,50,86,156
313,142,102,36,24,173,344
206,64,43,23,14,78,151
119,69,24,3,27,46,104
295,165,100,29,37,114,217
170,87,42,23,37,74,126
47,23,6,5,9,21,36
295,97,32,10,30,95,164
249,184,74,45,67,136,295
470,29,67,11,0,17,103
279,103,46,17,19,109,189
493,254,68,43,63,224,362
69,28,5,2,9,18,54
74,57,29,7,9,29,91
143,78,21,10,22,73,120
1463,602,231,114,95,623,1231
295,187,81,40,90,139,288
85,33,12,3,3,16,49
446,243,109,60,81,250,394
728,308,168,55,42,285,501
186,96,51,21,19,88,146
473,198,97,57,70,205,334
202,73,23,12,20,86,129
279,147,79,32,19,154,288
166,105,53,23,18,80,173
49,24,18,0,7,14,20
178,83,31,9,7,85,108
258,83,57,19,11,87,166
222,117,55,22,23,101,231
265,121,61,21,34,118,280
410,287,99,66,115,195,469
400,227,103,74,52,205,385
340,287,100,75,103,175,418
174,69,43,18,24,62,148
351,103,42,14,32,125,233
56,27,6,7,7,22,41
10,1,3,1,2,6,5
173,58,25,7,4,54,112
28,11,3,2,6,8,22
109,62,24,17,35,49,75
430,240,84,51,94,197,386
475,267,119,58,88,236,422
282,137,43,19,38,104,227
91,70,13,12,33,40,76
561,206,100,52,50,261,331
219,134,61,30,63,113,224
304,133,103,60,42,132,258
486,251,139,68,47,206,523
92,70,15,13,22,53,84
310,150,72,25,25,130,221
159,72,30,23,26,83,105
244,95,48,21,26,86,172
497,224,103,45,80,263,471
229,106,70,39,24,110,180
53,16,3,0,3,13,30
355,230,84,44,59,197,414
63,43,9,3,13,28,49
630,349,159,108,225,356,613
2026,1328,414,209,716,931,1848
592,244,87,58,58,216,434
14,31,8,7,19,15,25
263,178,64,54,53,106,271
113,53,20,9,7,43,78
143,72,24,8,15,57,100
139,46,19,6,14,55,89
158,75,29,15,19,64,89
213,115,44,29,30,92,154
806,499,218,113,202,459,677
371,157,83,39,44,165,321
39,16,7,1,6,18,39
360,200,75,30,65,169,312
289,159,44,26,50,135,256
695,109,128,4,1,38,272
99,31,26,3,6,32,76
145,60,45,10,18,66,94
192,110,16,16,29,83,169
45,15,5,2,2,7,35
327,218,79,35,67,135,302
175,83,48,22,28,72,154
404,207,68,29,38,185,320
154,52,20,6,6,55,92
29,8,2,1,0,4,8
392,196,71,39,42,163,309
535,252,115,61,42,215,445
433,192,114,44,59,250,418
208,85,46,16,11,84,197
431,230,108,68,47,228,350
284,107,67,24,35,133,263
336,169,75,51,67,141,270
523,228,100,58,62,222,369
226,118,62,21,17,120,198
149,84,38,15,29,56,116
291,133,83,19,37,146,217
254,115,60,28,27,114,201
650,269,190,101,61,312,544
344,257,91,64,136,204,346
207,183,92,32,73,107,228
41,18,2,1,11,16,32
377,299,147,77,126,213,458
211,173,49,56,106,147,276
104,29,25,2,2,34,93
279,152,157,58,29,158,317
209,139,45,27,81,94,216
823,326,153,47,56,317,579
236,96,55,29,14,105,174
479,224,103,49,84,190,343
88,51,22,10,9,44,61
662,561,207,118,237,385,728
87,37,26,11,5,50,62
216,177,59,47,92,138,288
209,113,42,28,17,72,171
303,121,84,40,23,149,276
135,62,31,14,15,57,109
144,55,20,8,4,54,100
399,188,83,33,55,158,320
158,80,39,13,19,62,99
634,424,253,159,205,396,662
38,24,12,4,9,13,46
108,42,13,8,16,41,73
260,163,88,66,60,154,328
119,93,31,26,58,65,115
167,90,44,35,35,74,142
55,8,14,2,0,19,16
564,249,146,60,54,239,401
541,211,110,52,42,225,392
497,252,120,83,109,249,454
250,113,78,40,17,145,204
749,508,150,120,295,349,787
15,7,1,3,4,9,14
385,147,70,31,54,133,244
113,46,23,16,19,47,79
147,67,50,9,15,53,90
688,331,92,66,86,270,518
421,304,157,122,152,279,502
407,264,83,73,61,224,392
73,42,12,15,19,42,65
280,141,62,33,48,124,216
247,132,78,36,29,129,250
191,83,53,27,30,107,177
279,105,48,17,32,100,176
35,21,9,2,5,16,28
315,139,80,46,32,150,260
141,79,32,10,23,71,153
239,122,52,28,32,120,214
47,48,14,23,30,36,56
382,173,107,56,36,188,338
44,26,15,6,18,23,36
446,239,138,55,99,200,414
305,168,65,51,68,151,237
469,192,84,49,36,212,417
84,25,25,7,2,20,37
67,30,19,6,7,16,38
15,9,2,0,0,6,9
12,9,2,2,0,5,10
383,234,78,44,49,189,320
167,69,20,10,7,60,114
148,48,40,20,4,75,157
69,28,7,4,16,22,55
59,22,14,8,8,21,42
89,58,28,16,19,39,85
166,82,40,24,19,80,147
6,0,0,0,0,0,2
342,178,71,40,61,132,229
305,207,64,61,92,165,277
77,44,16,14,6,36,70
211,71,30,8,9,76,166
482,224,75,44,57,206,371
388,219,85,45,65,139,277
26,2,5,0,0,9,15
21,10,4,3,5,8,16
483,44,73,7,0,14,141
159,86,39,13,29,77,107
82,50,11,10,17,30,41
116,111,42,22,56,58,182
73,53,18,15,20,36,55
127,83,28,13,20,62,84
122,37,23,5,1,40,70
487,253,111,45,77,218,416
430,233,81,45,80,220,404
436,162,107,41,34,199,292
266,76,46,16,23,82,112
177,135,48,25,59,79,191
369,225,91,46,41,200,378
150,66,31,11,28,41,104
54,33,13,9,16,16,35
457,228,94,29,44,228,419
321,190,55,40,43,156,339
115,66,41,20,27,54,112
212,97,51,29,16,105,160
330,191,71,41,40,149,319
116,101,20,22,30,57,102
100,34,16,5,5,33,49
64,37,15,4,9,31,53
371,256,84,52,148,200,364
1049,639,361,189,149,608,1139
163,93,39,18,39,66,128
446,222,87,56,47,174,339
420,234,111,55,28,172,347
246,139,50,40,73,133,237
99,50,33,16,6,43,89
140,59,34,5,12,54,113
226,118,47,23,20,93,174
483,203,75,42,25,167,311
489,262,85,49,100,207,408
288,118,126,34,21,110,207
333,190,44,44,74,153,262
437,179,93,40,68,170,308
459,281,88,73,92,212,422
93,26,23,5,8,38,76
335,160,102,65,41,175,294
238,165,77,54,99,121,255
37,10,10,1,2,10,22
207,99,48,22,23,108,197
67,30,12,4,6,21,48
324,200,70,38,36,172,332
95,67,16,13,36,42,80
370,165,107,35,45,147,242
432,241,107,41,87,197,385
231,75,55,21,29,86,184
60,40,16,9,33,33,53
194,106,55,32,42,83,217
242,84,61,16,7,85,157
167,72,41,16,11,82,116
331,135,67,25,29,139,234
43,27,18,8,19,24,40
265,150,63,24,49,117,213
90,62,21,10,30,36,57
384,146,57,22,53,152,257
524,217,131,63,58,271,404
18,13,8,3,5,12,24
506,197,85,63,63,195,388
17,3,3,1,1,4,8
89,43,16,14,19,45,69
102,38,9,6,12,29,69
547,321,139,93,141,288,442
35,8,6,4,1,9,27
453,225,91,52,63,173,268
129,38,15,12,7,52,78
231,119,41,20,16,103,175
98,67,24,17,35,41,120
138,102,30,14,22,52,114
273,151,81,33,23,134,275
362,317,130,88,166,332,477
404,250,77,64,71,183,364
243,194,64,39,75,111,268
289,171,61,50,32,144,315
81,33,8,3,5,26,51
79,56,14,10,21,30,74
629,315,145,80,85,305,474
213,107,54,29,23,104,180
81,44,16,13,13,28,55
242,118,63,22,12,99,220
190,90,27,15,43,58,165
185,89,33,20,28,74,129
117,48,23,9,11,47,77
807,369,187,72,116,414,636
150,52,47,7,4,75,163
12,17,2,13,10,8,25
481,240,145,80,49,266,459
387,163,83,39,24,131,265
415,183,85,28,32,191,357
2,0,0,0,0,0,0
234,127,62,34,28,91,173
156,84,30,16,24,63,128
14,9,7,0,5,7,22
1159,563,325,159,199,565,985
75,44,23,15,12,36,70
746,424,233,123,184,420,799
147,77,27,7,9,57,121
205,119,36,21,23,85,164
338,154,74,42,28,135,233
118,51,16,8,12,40,89
60,28,7,9,8,30,37
632,292,190,90,121,349,655
99,55,21,7,23,39,99
379,154,75,35,53,138,336
362,192,60,31,35,169,326
131,81,25,11,22,55,101
14,10,8,3,3,2,11
141,71,46,8,17,78,110
82,26,8,8,7,26,46
103,68,27,13,26,42,97
346,170,81,36,32,162,258
92,56,26,13,16,50,76
300,136,48,18,19,124,239
230,161,65,49,66,123,240
237,95,46,23,16,81,118
346,200,76,42,43,175,311
255,173,71,23,40,124,223
50,31,15,6,12,28,52
469,269,91,57,62,250,438
626,311,153,68,53,258,516
26,11,2,3,1,10,26
18,4,1,0,0,7,7
62,5,9,1,0,0,24
318,154,88,52,18,142,183
386,190,106,49,49,174,251
64,36,10,3,23,25,56
262,96,45,17,25,77,156
201,112,76,36,24,98,216
331,208,94,39,78,177,370
249,127,47,22,48,115,199
18,12,7,4,6,12,27
140,108,35,16,53,81,151
130,43,26,8,12,54,71
365,173,50,38,55,148,260
228,97,53,27,25,110,197
70,58,20,20,29,37,70
99,44,14,12,18,38,81
537,204,157,40,48,247,487
139,99,40,25,49,61,128
465,255,86,60,105,186,401
216,84,34,13,22,72,160
349,146,71,27,18,149,301
19,9,4,6,3,7,14
72,54,10,11,17,35,66
329,183,81,38,35,167,306
119,65,34,12,38,47,100
324,236,82,69,136,199,368
235,128,57,11,15,116,172
430,262,123,104,93,269,423
180,118,67,36,23,115,208
379,194,111,60,42,148,382
109,56,29,8,11,57,84
255,85,36,17,27,44,212
87,39,17,8,9,31,70
179,96,40,17,25,86,135
162,82,37,20,26,72,111
408,274,105,40,51,193,393
434,160,90,36,38,185,275
346,207,77,36,57,176,268
133,84,27,16,33,67,129
116,58,30,19,13,42,80
205,137,41,38,41,130,249
256,255,120,104,119,187,372
100,40,18,13,13,44,110
157,55,29,10,18,63,100
44,25,10,6,6,19,44
64,22,14,9,5,12,36
623,309,131,85,95,263,415
177,86,31,9,20,67,120
80,45,14,3,14,36,53
187,78,35,7,10,68,137
226,96,20,9,18,98,146
112,44,17,5,5,43,86
1417,706,427,189,159,763,1452
258,116,58,31,28,125,164
87,63,17,20,40,54,69
384,161,81,36,74,185,352
112,55,41,14,20,41,79
51,25,3,7,7,19,46
443,191,101,64,55,203,267
68,43,25,15,5,41,68
107,72,23,13,8,46,102
20,6,4,1,0,5,16
98,68,8,12,32,52,86
161,54,30,13,10,62,110
136,48,11,8,9,27,75
516,288,139,76,123,272,374
78,47,12,8,12,36,63
184,73,32,7,16,80,128
359,166,82,36,26,169,310
349,177,48,23,37,142,289
359,212,82,45,123,166,303
569,350,157,125,165,294,528
60,24,6,0,10,25,40
30,11,8,4,2,14,26
236,73,33,9,10,76,168
65,24,12,2,0,24,34
450,258,86,77,77,225,390
119,77,16,8,29,66,112
11,7,4,0,1,4,6
302,171,60,31,22,135,240
227,90,46,16,16,117,174
68,41,11,8,14,23,64
61,29,10,9,3,22,58
165,126,38,31,33,61,165
188,86,25,28,36,41,171
295,145,65,26,34,158,249
8,1,2,0,0,4,5
225,89,37,20,13,77,178
718,321,125,81,47,321,646
326,331,87,95,247,240,444
159,83,61,23,16,89,146
294,156,77,61,47,142,314
74,31,11,5,4,22,42
719,333,171,72,70,290,597
566,296,94,60,91,225,467
178,82,49,6,10,80,139
11,3,3,0,0,10,11
267,157,71,44,56,124,176
360,184,107,49,35,170,376
26,4,5,2,1,3,7
202,114,50,22,28,77,155
221,121,51,21,33,87,161
87,56,13,10,12,32,64
142,82,35,26,21,78,147
329,218,83,54,67,159,347
130,70,31,14,23,63,72
282,151,69,38,43,110,232
253,133,65,28,17,103,210
312,165,50,30,51,108,219
191,114,53,31,57,99,201
589,248,125,82,67,246,458
437,302,98,66,128,223,436
268,108,90,44,22,160,272
85,30,16,7,14,25,38
452,199,93,45,67,216,302
677,440,202,170,159,399,785
531,258,111,56,68,214,440
65,48,16,6,20,31,54
118,37,22,7,3,74,124
116,79,42,23,9,72,103
32,8,6,4,2,5,7
273,148,61,34,37,108,177
47,12,5,4,2,13,22
76,33,19,12,14,29,52
29,14,11,4,8,11,11
334,161,65,32,32,156,238
292,132,50,29,23,128,231
69,32,13,5,19,28,51
252,150,68,41,43,115,202
79,39,14,7,8,24,52
420,227,65,39,70,167,277
650,433,158,147,146,340,627
383,182,90,66,112,143,329
200,117,44,15,42,97,150
418,223,116,58,60,197,349
69,36,13,7,5,33,54
418,221,119,61,53,221,381
219,62,52,15,8,92,179
224,88,31,11,4,76,132
135,69,36,15,9,55,120
164,81,35,22,16,60,129
72,26,7,6,0,21,55
450,210,82,48,58,179,306
135,55,32,12,16,47,72
146,46,24,18,8,60,106
155,44,28,4,5,54,80
312,143,68,24,14,137,245
62,28,8,4,7,29,33
133,50,29,11,19,58,90
93,25,14,2,13,28,48
367,182,63,42,57,164,288
721,256,126,49,142,326,746
172,116,61,31,53,93,206
278,105,74,31,33,113,226
409,266,94,66,101,198,391
37,27,12,4,8,23,37
54,12,5,5,2,13,28
79,35,17,9,4,44,98
264,153,86,61,36,147,321
425,175,118,42,23,152,314
96,49,35,14,6,72,108
105,44,23,14,18,42,43
228,110,52,29,25,92,176
243,169,72,44,95,120,222
238,124,81,35,28,127,222
136,51,24,9,3,58,85
115,66,41,20,27,54,112
570,267,120,52,61,231,404
257,165,74,49,104,163,244
112,50,22,16,8,56,73
302,151,86,46,40,149,235
226,140,30,26,29,128,205
76,41,9,6,15,32,59
1557,527,349,160,64,574,1085
318,181,91,62,63,161,297
103,38,28,20,7,33,66
125,71,33,18,15,74,113
102,68,22,12,19,42,102
10,5,3,1,0,5,9
177,109,49,40,35,74,225
32,7,1,0,0,10,24
185,84,27,12,24,61,139
320,146,56,38,24,120,199
99,49,12,4,9,33,67
270,157,51,26,39,115,214
401,170,70,35,34,169,258
181,159,43,37,91,107,219
74,21,11,5,6,18,43
673,389,105,67,95,303,585
222,144,65,61,44,121,256
401,232,80,69,56,167,389
373,233,61,50,104,186,332
185,140,43,22,45,83,186
421,198,91,44,38,178,364
202,92,52,26,27,90,153
98,47,17,7,9,40,70
207,62,35,7,10,70,167
461,262,127,62,100,207,398
50,23,15,2,3,24,20
12,2,1,0,0,1,2
11,8,4,3,4,2,12
282,123,44,43,40,90,209
274,174,89,54,80,133,232
182,65,33,14,7,49,148
157,81,32,21,32,54,139
131,57,32,9,17,61,169
141,59,13,14,17,51,109
57,13,9,1,0,15,31
221,112,52,20,16,101,193
26,7,5,1,3,9,20
380,260,126,62,130,184,452
551,63,164,6,0,48,270
430,208,192,68,24,202,307
6,0,0,0,0,0,2
404,174,80,48,26,167,296
135,68,44,18,5,67,146
8,6,2,1,1,3,6
122,89,30,26,48,52,104
47,30,7,10,10,27,51
290,133,81,34,31,114,247
14,4,4,0,3,7,7
277,148,65,20,45,110,229
150,79,31,18,19,49,120
79,35,17,5,8,33,69
63,29,14,11,1,29,52
93,46,19,7,13,36,56
100,89,34,14,29,53,110
261,107,98,45,26,144,237
167,63,31,12,12,60,165
255,224,101,67,122,202,384
133,42,25,8,14,46,74
250,132,33,22,38,132,205
134,46,24,12,12,41,86
237,109,49,24,33,108,176
479,224,97,51,87,245,388
145,106,33,11,14,62,121
103,38,27,13,11,53,84
600,395,126,86,186,292,529
75,34,13,5,5,36,52
1453,949,372,228,289,720,1367
391,178,103,48,46,179,291
164,72,23,17,14,62,115
444,146,76,29,20,153,279
85,39,15,8,2,20,43
287,180,53,36,93,133,254
151,64,30,8,23,60,75
118,54,21,28,13,42,92
428,193,78,34,50,197,333
651,317,167,89,87,267,524
466,198,73,27,40,184,305
133,43,30,5,8,53,85
67,28,16,7,15,26,66
462,240,106,56,53,209,415
393,230,80,47,68,147,311
97,5,5,0,0,1,26
388,259,88,54,105,195,396
51,12,5,1,2,12,28
302,138,56,21,26,129,233
261,114,36,18,20,92,213
445,190,98,37,40,211,360
473,219,145,57,32,228,313
288,145,111,50,16,125,257
61,22,8,6,8,17,22
424,173,67,54,40,175,346
118,44,24,7,13,45,79
122,60,17,9,20,37,61
356,76,57,7,14,107,193
838,472,140,78,132,402,754
147,76,34,17,4,60,115
252,123,43,29,60,94,221
38,21,15,7,6,21,35
33,20,3,4,6,8,22
200,86,38,16,16,81,141
109,19,11,2,6,40,50
120,61,16,6,24,53,67
176,85,46,16,18,66,165
494,303,117,70,72,233,394
106,75,29,13,18,58,106
1707,547,357,112,120,647,1268
155,59,13,6,17,46,106
671,372,239,126,105,373,641
136,91,28,33,40,73,178
581,286,100,40,38,274,451
438,223,115,40,49,203,293
148,43,18,6,3,44,119
259,102,39,19,26,94,182
318,147,85,57,60,156,263
101,50,15,23,15,44,88
313,173,103,53,37,184,258
60,10,4,2,0,16,41
235,96,71,22,21,99,171
83,58,19,8,21,27,60
111,47,23,7,9,46,74
304,146,50,27,28,131,213
183,113,26,28,52,70,152
110,47,25,11,7,34,77
189,138,40,32,39,115,191
63,40,22,7,9,36,64
64,23,13,7,4,28,41
54,35,18,8,13,24,52
316,179,84,39,77,145,329
229,128,69,29,29,103,212
263,146,96,36,40,138,239
569,373,255,145,114,361,621
671,369,197,93,105,361,715
488,214,98,52,54,190,348
547,359,146,78,89,265,508
369,225,96,34,63,165,282
167,72,26,13,17,55,103
432,271,105,44,78,213,431
125,76,34,18,33,74,90
453,189,72,48,37,144,301
230,110,55,25,32,92,217
477,243,122,62,41,234,396
143,72,41,27,19,72,129
139,54,14,22,6,41,98
441,216,144,42,28,229,390
458,186,87,35,40,180,314
116,37,14,6,10,19,46
21,27,10,3,11,23,42
77,43,20,17,26,44,57
803,44,69,0,0,3,155
838,552,175,102,278,363,759
219,67,42,11,22,75,153
160,77,21,9,12,58,121
496,208,69,37,57,176,321
184,63,28,17,20,51,140
336,193,51,54,58,160,268
30,12,5,1,6,12,24
449,219,77,42,58,191,349
490,259,130,91,46,256,497
149,103,31,32,49,68,165
139,81,38,28,44,69,106
152,80,33,29,20,79,118
124,85,32,12,17,39,111
40,15,2,3,0,21,38
435,229,103,44,61,193,352
72,26,6,2,2,33,58
155,82,29,12,20,60,114
59,22,11,6,11,21,39
383,250,102,61,54,186,376
215,83,49,12,35,63,198
82,50,11,16,20,30,60
74,21,10,3,4,19,42
557,299,105,59,121,256,434
114,75,20,15,34,48,92
114,53,22,7,24,40,94
383,205,86,70,45,181,341
103,67,22,18,29,46,89
95,50,18,6,14,39,95
66,40,8,8,9,32,56
330,129,55,20,40,153,240
790,278,181,67,34,312,485
206,108,36,25,25,67,126
205,105,59,48,32,93,198
147,80,15,10,13,34,130
70,50,20,9,16,29,70
159,62,34,14,11,58,121
1276,685,249,175,313,625,1315
535,266,108,64,44,256,425
539,248,173,75,62,249,423
82,43,26,13,12,39,63
74,55,14,12,25,36,67
176,62,22,9,14,55,114
627,362,189,101,144,322,682
121,56,17,6,19,49,74
79,35,17,5,8,33,69
186,74,64,30,31,102,138
184,78,47,17,11,85,160
534,219,101,74,96,224,362
330,130,71,22,27,119,257
318,149,71,27,65,158,299
54,21,9,4,5,29,39
56,34,5,8,8,20,46
420,229,108,70,45,225,343
299,124,89,39,24,165,282
314,148,96,51,34,156,283
294,124,97,23,12,133,225
71,33,18,11,8,31,50
441,174,107,36,42,175,330
435,231,80,51,46,204,359
61,29,11,12,10,25,59
261,138,101,41,48,146,251
130,87,35,25,51,74,147
253,115,59,10,13,102,212
909,251,310,87,57,389,591
327,173,53,35,42,151,278
514,315,163,89,78,253,482
486,188,85,42,16,209,600
169,89,27,21,18,67,147
255,151,75,40,53,131,262
151,76,27,5,11,74,137
376,221,56,34,64,181,309
50,1,4,0,0,1,9
544,217,107,41,68,241,425
168,54,39,12,17,65,125
1123,48,59,0,0,2,195
10,2,4,0,0,7,5
292,137,64,32,55,128,251
208,161,60,47,143,141,260
67,27,7,1,5,20,32
149,121,56,26,51,81,160
334,185,64,33,37,142,266
192,106,43,36,35,86,144
348,193,87,33,67,160,269
250,88,38,13,15,102,121
580,233,122,60,46,225,393
286,107,54,14,18,121,198
533,282,145,91,34,267,469
433,197,62,33,45,156,299
195,86,46,37,45,99,172
369,40,94,2,1,45,200
158,69,41,16,15,66,137
677,355,133,103,127,295,609
128,41,17,13,5,48,76
244,93,37,21,37,94,183
61,22,15,4,1,17,38
424,233,110,49,84,225,394
19,15,5,3,10,16,11
133,86,43,24,32,63,118
131,61,26,18,14,52,86
490,232,116,54,62,181,404
434,218,97,37,54,194,372
118,84,36,24,21,64,110
619,346,132,78,136,262,519
272,146,72,36,45,122,214
223,172,60,55,73,103,223
176,88,30,17,25,79,130
